"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.47520094001093,0.2209848315432,0.0451110680480489,0.140285180986699,66800000,17.1796002686671,15.5764145990833,-363960.033716513
11,2.47520094001093,0.2209848315432,0.0451110680480489,0.128500714094538,66800000,17.958788283234,15.5764145990833,-241853.488186001
21,2.47520094001093,0.119889882716842,0.0448880781591871,0.117779341886911,66800000,18.5328902879912,15.5764145990833,-413.450974656189
31,2.47520094001093,0.119889882716842,0.04442622464709,0.117779341886911,66800000,18.5328902879912,15.9594929429003,-408.317442836767
41,2.47520094001093,0.119889882716842,0.04442622464709,0.077979006932277,66800000,18.0563321231813,17.0274101968388,-378.968099970983
51,2.42716865657722,0.119889882716842,0.0431856882302092,0.077979006932277,66800000,18.2505566038373,17.0274101968388,-375.271997679718
61,2.42716865657722,0.119889882716842,0.0393665415453726,0.116155781888243,66800000,17.4512575508044,16.4622119721025,-339.565711142381
71,2.40270568346032,0.119889882716842,0.0318873750008644,0.116155781888243,66800000,17.5223551038136,15.4989757903385,-268.395609378997
81,2.40270568346032,0.119889882716842,0.0282716189683416,0.116155781888243,66800000,18.3027530606552,14.9508040660293,-250.898259401915
91,2.40270568346032,0.119889882716842,0.0282716189683416,0.116155781888243,66800000,18.278984956508,14.1935682976618,-252.807447743775
101,2.40270568346032,0.119889882716842,0.0234157952233219,0.143972633977261,66800000,17.898460623058,14.3593381752725,-224.930171148142
111,2.41539941322417,0.119889882716842,0.0234157952233219,0.143972633977261,66800000,17.6938502565674,16.2461468030232,-223.016022149099
121,2.41539941322417,0.119889882716842,0.0234157952233219,0.143972633977261,66800000,17.0311430299836,16.357867881772,-222.955964862821
131,2.41539941322417,0.119889882716842,0.0234157952233219,0.143972633977261,66800000,17.0311430299836,16.2518779995152,-222.955964862821
141,2.41539941322417,0.119889882716842,0.0215784055003898,0.143972633977261,66800000,16.8099802283752,17.0393008055398,-214.880830430052
151,2.41539941322417,0.12213826398135,0.01719947588956,0.143972633977261,66800000,17.6484450109485,16.0727459244662,-196.322389038301
161,2.41539941322417,0.12213826398135,0.01719947588956,0.143972633977261,66800000,17.6484450109485,14.8472826270153,-190.221397313883
171,2.41539941322417,0.12213826398135,0.0143276429325344,0.143972633977261,66800000,17.6484450109485,15.3270069840363,-183.395804685201
181,2.41539941322417,0.12213826398135,0.0143276429325344,0.143972633977261,66800000,16.4658881118004,15.2547759921289,-176.678206568818
191,2.41539941322417,0.12213826398135,0.0143276429325344,0.143972633977261,66800000,16.4658881118004,15.2547759921289,-176.678206568818
201,2.41539941322417,0.12213826398135,0.0143276429325344,0.143972633977261,66800000,16.0506698034653,15.2406461276113,-176.755200607935
211,2.41539941322417,0.12213826398135,0.0143276429325344,0.143972633977261,66800000,16.6900193585963,15.0340738578233,-176.654558129934
221,2.41539941322417,0.12213826398135,0.0118079936234282,0.143972633977261,66800000,16.6611880703778,15.0340738578233,-173.061860193351
231,2.41539941322417,0.12213826398135,0.0118079936234282,0.143972633977261,66800000,15.4869688930404,15.4954638661583,-165.363347160737
241,2.41539941322417,0.12213826398135,0.0110751567347908,0.143972633977261,66800000,14.2954995110114,15.0822861918713,-163.497106206535
251,2.41539941322417,0.12213826398135,0.00846520683355643,0.143972633977261,66800000,14.2954995110114,14.8502101313788,-157.656992079858
261,2.41539941322417,0.12213826398135,0.00846520683355643,0.143972633977261,66800000,14.2211353568775,14.6898963090497,-150.587552540512
271,2.41539941322417,0.12213826398135,0.00808266956917955,0.143972633977261,66800000,14.0296506275837,14.6898963090497,-149.825116105952
281,2.41539941322417,0.12213826398135,0.00808266956917955,0.143972633977261,66800000,13.7093832576131,14.6898963090497,-150.075763999835
291,2.41539941322417,0.12213826398135,0.00808266956917955,0.143972633977261,66800000,13.7093832576131,14.9729119820985,-150.075763999835
301,2.41539941322417,0.12213826398135,0.00808266956917955,0.158168077363793,66800000,13.6222277779081,14.7004161968361,-152.565287962198
311,2.41539941322417,0.12213826398135,0.00730861956812455,0.158168077363793,66800000,13.8900691898954,14.7004161968361,-149.856823144371
321,2.41539941322417,0.12213826398135,0.00701490026991828,0.16683382854129,66800000,14.2256254655723,14.7004161968361,-151.952408210183
331,2.41539941322417,0.12213826398135,0.00701490026991828,0.16683382854129,66800000,13.9311246084464,14.7004161968361,-152.167513474133
341,2.41539941322417,0.12213826398135,0.00704924186784788,0.16683382854129,66800000,13.9311246084464,14.7004161968361,-152.203920856926
351,2.41539941322417,0.12213826398135,0.00704924186784788,0.16683382854129,66800000,14.1520187718044,14.7004161968361,-152.040545970335
361,2.40040169630093,0.12213826398135,0.00704924186784788,0.16683382854129,66800000,13.9815633050813,14.0413414759095,-152.22727083634
371,2.40040169630093,0.12213826398135,0.00604222837230205,0.16683382854129,66800000,13.1249696388324,14.0413414759095,-147.804960656669
381,2.40040169630093,0.12213826398135,0.00604222837230205,0.16683382854129,66800000,11.9881968915644,14.0413414759095,-147.529636056145
391,2.40040169630093,0.12213826398135,0.00604222837230205,0.16683382854129,66800000,12.2498327213754,14.0413414759095,-147.210375903294
401,2.40040169630093,0.12213826398135,0.0060650310814382,0.16683382854129,66800000,12.2498327213754,14.0413414759095,-147.409513547193
411,2.40040169630093,0.12213826398135,0.0060650310814382,0.16683382854129,66800000,12.8188512945264,14.0413414759095,-146.774252962489
421,2.40040169630093,0.12213826398135,0.0055753654437141,0.16683382854129,66800000,12.934481694195,13.6956618062685,-143.728876157858
431,2.40040169630093,0.12213826398135,0.0055753654437141,0.140284636395824,66800000,13.045217439597,12.194001761265,-136.315435262884
441,2.40040169630093,0.12213826398135,0.0055753654437141,0.140284636395824,66800000,13.7622808239604,12.194001761265,-135.670750308238
451,2.40040169630093,0.12213826398135,0.00551001766324057,0.140284636395824,66800000,13.6341213579937,11.5388370567234,-135.623387384107
461,2.40040169630093,0.12213826398135,0.00551001766324057,0.140284636395824,66800000,13.6341213579937,11.5388370567234,-135.623387384107
471,2.40040169630093,0.12213826398135,0.00551001766324057,0.140284636395824,66800000,13.8172726577097,11.2922952342778,-135.473464171938
481,2.40040169630093,0.12213826398135,0.00551001766324057,0.140284636395824,66800000,14.0992362069148,11.4188210401916,-135.259048827927
491,2.38497847772096,0.12213826398135,0.00551001766324057,0.140284636395824,66800000,13.280767303607,11.4188210401916,-134.421113602105
