"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.25,0.307692307692308,0.001,0.14,66800000,15.5,0,9.99621428146682
11,2.25,0.190823247835327,0.001,0.14,66800000,15.5,0.676539994077757,10.5033299739049
21,2.25,0.190823247835327,0.001,0.14,66800000,16.2537133980077,2.53088989143725,10.7149620123657
31,2.25,0.190823247835327,0.00109188732132316,0.14,66800000,15.9846506973263,0.0994997390080243,10.5479073370729
41,2.25,0.202672466456604,0.00109188732132316,0.14,66800000,15.9846506973263,0.318906592670828,10.7278335546799
51,2.25,0.277583756663192,0.000953323018271476,0.14,66800000,17.218761609518,0.137672926182858,10.6921726525949
61,2.25,0.269811039969612,0.000953323018271476,0.14,66800000,18.1242324092891,0.393344015814364,10.6279241618033
71,2.25816588497255,0.270946090987239,0.000953323018271476,0.14,66800000,18.7290605292656,0.160063877119683,10.3464159103208
81,2.25816588497255,0.270946090987239,0.000953323018271476,0.14,66800000,16.7857126444578,0.53820666403044,10.7143823157107
91,2.25816588497255,0.270946090987239,0.000953323018271476,0.14,66800000,17.1422726481687,1.29201311082579,10.7175920112517
101,2.25816588497255,0.270946090987239,0.000953323018271476,0.14,66800000,16.5968051722739,1.41128017287701,10.6998014409157
111,2.25816588497255,0.270946090987239,0.000953323018271476,0.14,66800000,16.4338276501512,1.15816362225451,10.6800533083371
121,2.25816588497255,0.270946090987239,0.00122019854281098,0.14,66800000,16.3873215160566,0.172092548338697,10.3260829888835
131,2.25816588497255,0.236315504594061,0.00122019854281098,0.14,66800000,16.6516591120744,1.93727652565576,10.6492519186439
141,2.25816588497255,0.236315504594061,0.00122019854281098,0.14,66800000,17.5855499029858,2.81615346623585,10.6215610043082
151,2.25816588497255,0.19106316106179,0.000864564514253289,0.14,66800000,17.3293091095984,0.783083234913647,10.8175898438254
161,2.25816588497255,0.192035083945554,0.000864564514253289,0.14,66800000,18.1450792368269,0.931599510717205,10.6863336573109
171,2.25816588497255,0.199927822865832,0.000864564514253289,0.14,66800000,17.0430540131638,0.416117113432847,10.9742930910192
181,2.25816588497255,0.199927822865832,0.000864564514253289,0.14,66800000,15.9192553192843,1.26137533632573,10.8285236639135
191,2.25816588497255,0.199927822865832,0.000864564514253289,0.14,66800000,17.1339369094931,1.95876328612212,10.9722824100598
201,2.25816588497255,0.199927822865832,0.000864564514253289,0.14,66800000,16.5591051238589,0.346366533078253,10.9502262605494
211,2.25816588497255,0.193947994794983,0.000864564514253289,0.14,66800000,16.4327157429652,0.373528116499074,10.8450205383145
221,2.25816588497255,0.22177804605319,0.000864564514253289,0.14,66800000,17.4295433897059,1.31919910130091,11.0773249123032
231,2.25816588497255,0.22177804605319,0.000534653159789741,0.14,66800000,16.3508531964617,0.954816388199106,10.7748404136016
241,2.27113924780861,0.22177804605319,0.00104360847594217,0.14,66800000,18.0718951836461,3.85461632581428,10.5102547238314
251,2.21478840115014,0.22177804605319,0.000944895368069411,0.14,66800000,16.8261209451593,1.95952588424552,10.1118079152881
261,2.21299403705634,0.26831081457651,0.00122226515924558,0.14,66800000,16.4024274832336,1.98742973129265,9.31127375321334
