"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.74943687436719,0.218259110968953,0.00823283071009526,0.141055998347745,66870000,17.2785652360515,37.9163138896693,8.83722238876316
11,2.74113079884894,0.217055641456032,0.00804524183282502,0.14117103827695,66870000,16.3354955643568,45.5290395620678,8.72563547610532
21,2.75938477902203,0.252802871895379,0.00434229770583986,0.137482042561221,66870000,15.988755237368,51.4898761655396,7.83711546956563
31,2.79529157334991,0.255568206455372,0.007834177839781,0.13891805780949,66870000,15.5951583107835,74.0720602812809,6.79060724782395
41,2.76825577207929,0.345815719350772,0.00373485269939907,0.143436047802157,66870000,19.0248559022722,63.2303750323575,5.75630585814494
51,2.77702716837835,0.432474020925357,0.00598624534101116,0.143772685090754,66870000,21.1229058094911,68.5492339121612,3.46305456182704
61,2.76098884088206,0.452672593743557,0.00792622663259968,0.131857721528342,66870000,15.2311449163736,58.1128777764124,5.07507070878263
71,2.71622441105364,0.325943262565202,0.00947796703032735,0.148643938713266,66870000,18.9223189195493,22.3573456355485,5.64042800037143
81,2.71381261516462,0.382014573400298,0.00778606531059599,0.144296836128473,66870000,20.2598726197337,25.9926373050891,4.52621071914055
91,2.75884351675606,0.246365954186953,0.00736544786610866,0.137770869339681,66870000,20.2629076493273,32.5270478902584,7.30893353222998
101,2.71371816390543,0.272611914201016,0.00336079944690488,0.138903595721566,66870000,19.5547201264891,22.2942279286046,5.48698614164333
111,2.72937377499858,0.239225510868554,0.00550549614699428,0.147353332580775,66870000,18.4934277323735,10.4733074524892,7.39398455674692
121,2.73236182803492,0.222811956254135,0.00435707962515404,0.153595561427088,66870000,18.5431802426384,5.04195638887872,5.82171120737602
131,2.74983453969398,0.233158558004531,0.0115925910436011,0.150984230600825,66870000,18.4724811649093,53.8246871016499,7.02647877612471
141,2.77613259759645,0.217921692455483,0.00489031925805194,0.144199268079504,66870000,18.3947546992044,41.0219771352254,7.47628146357789
151,2.76020850722604,0.197593879215971,0.00571637997856044,0.140255855623036,66870000,18.299501989024,22.1713197030219,8.20851843286921
161,2.76784758604685,0.281663265574754,0.00855975239328034,0.142554875103338,66870000,14.9662414983483,24.7548014593838,7.56481265364022
171,2.73977679844502,0.346996291393164,0.0120347776174168,0.144646493806145,66870000,16.5427034185057,28.0902408998386,6.84038216449783
181,2.75164971179905,0.31373880073821,0.00744247975259217,0.143808463903463,66870000,14.0601297858357,25.4694815472996,6.76132378549349
191,2.74440650958408,0.292335305903851,0.0065223196063589,0.144533037854787,66870000,14.5172223169999,47.7431391248037,7.19790619613468
201,2.74337043323935,0.248789120317639,0.0089928573279024,0.136575312771847,66870000,16.0017288518957,65.381584399656,8.44021987806276
211,2.76932872285514,0.182826709445121,0.0131836670387812,0.135011025203998,66870000,17.9987996936169,60.754350860346,7.12219160485696
221,2.76073492402444,0.188056162460308,0.00768252378763342,0.132937619539729,66870000,15.6264046803977,67.530947943508,7.68912928555431
231,2.72269290505241,0.392487530410884,0.00901568536187402,0.139726873422414,66870000,16.4939289570077,27.5158100044368,6.29905140857458
241,2.76807226620013,0.229878595044885,0.00945544204455505,0.141393688113206,66870000,18.6087833449217,72.7192817223609,8.18856945122065
251,2.77352348085973,0.240886371108133,0.0130389352105133,0.14141000978668,66870000,19.3567036303324,59.9525480257642,7.08007028849697
261,2.74391115004701,0.21383832496177,0.00729100089034219,0.128153525164178,66870000,19.1267776961509,62.6551457514688,6.80420043420504
271,2.71885907086995,0.235950592863125,0.00913414158540939,0.134371983504351,66870000,20.0128587449401,64.9379730033412,6.5588382319301
281,2.70080433874144,0.331572065095308,0.00337228122948472,0.138833766128843,66870000,19.5049117243344,58.4096034281658,3.8864105054601
291,2.72827735813133,0.519813554869895,0.00785966980366817,0.142577958209509,66870000,13.5603449045303,39.1052146742206,3.62022633723379
301,2.72968471211996,0.540772679686669,0.00834190592350881,0.124640022572691,66870000,13.7794244329977,41.4675594804707,1.31252796895635
311,2.79834221914298,0.699054230536347,0.00791446371340382,0.127797535539974,66870000,14.919453451479,0.429134194154745,0.222372875335976
321,2.78155173803519,0.757627502073499,0.00457905312133521,0.129168476684807,66870000,18.7507857261049,8.89583521248824,0.909016214116789
331,2.74149775400807,0.850202889708493,0.0112152006890706,0.12723399332823,66870000,20.6547793578548,48.7111854346475,-0.307063976038922
341,2.75660193148557,0.450361713016861,0.00877593613520013,0.129530014636419,66870000,18.00890128243,74.1588053809784,4.96699064415913
351,2.72315653880268,0.407634627991693,0.00834800644391754,0.143524853314387,66870000,15.9845968779897,66.8020313702952,5.93301587122963
361,2.72240505009687,0.268862572328302,0.00830265063999724,0.142321900092818,66870000,17.368823477222,55.5494309418399,7.87487165176253
371,2.76635639967196,0.16817486120169,0.012688073788312,0.149304390588549,66870000,16.3990771221982,32.3433026252478,6.1761177973738
381,2.75675422638706,0.197350871815989,0.0147068360703034,0.146533463404016,66870000,17.8147763392718,25.3251532718034,7.22975839329524
391,2.75675422638706,0.197350871815989,0.0147068360703034,0.146533463404016,66870000,17.8147763392718,25.3251532718034,7.22975839329524
401,2.77481362889242,0.220672689981091,0.00814548491831097,0.132655549845349,66870000,16.1167646781402,53.3739300673313,7.72189837334774
411,2.7834468103256,0.229720776048801,0.00814392869393255,0.146279929647536,66870000,17.3064805798091,9.40311441760423,7.54301084656974
421,2.77086677639841,0.208878971299454,0.00975326575832573,0.144236465234159,66870000,18.7693383004266,17.5096351990118,7.81545084162276
431,2.76616569357656,0.226152298142207,0.00477426087943464,0.138016237580098,66870000,17.5243059863645,44.6310701989717,8.1249752922764
441,2.757515762138,0.298039609625942,0.00680402771806602,0.140208762983898,66870000,16.0874899517354,39.569160238294,8.00889927305027
