"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.5,0.222222222222222,0.01,0.14,66870000,17,59,-129.197159252518
11,2.5,0.222222222222222,0.00799866482615471,0.120511439293623,66870000,17.7416739320615,59,-113.738237308538
21,2.5,0.222222222222222,0.00799866482615471,0.120511439293623,66870000,17.7416739320615,59,-113.738237308538
31,2.5,0.222222222222222,0.00817111846292392,0.132461676243693,66870000,17.9576175163966,59,-108.163766379464
41,2.5,0.222222222222222,0.00817111846292392,0.132461676243693,66870000,17.8344846527325,58.6033718850231,-108.136183045456
51,2.5,0.222222222222222,0.00817111846292392,0.132461676243693,66870000,18.2572073237971,58.6033718850231,-108.246708747876
61,2.5,0.222222222222222,0.00817111846292392,0.132461676243693,66870000,18.2572073237971,58.6033718850231,-108.246708747876
71,2.5,0.222222222222222,0.00817111846292392,0.132461676243693,66870000,18.0307655367069,58.6033718850231,-108.181947164958
81,2.5,0.222222222222222,0.00817111846292392,0.132461676243693,66870000,17.9482354961801,58.6033718850231,-108.161531285527
91,2.5,0.222222222222222,0.00817111846292392,0.132461676243693,66870000,18.9699135422707,57.9065836998634,-108.534207386503
101,2.5,0.222222222222222,0.00817111846292392,0.132461676243693,66870000,18.2733845069306,57.9065836998634,-108.251825978812
111,2.5,0.222222222222222,0.00817111846292392,0.132461676243693,66870000,18.2733845069306,57.9065836998634,-108.251825978812
121,2.5,0.222222222222222,0.00743920394452289,0.132461676243693,66870000,18.2733845069306,57.9065836998634,-107.091971919322
131,2.5,0.222222222222222,0.00820493748411536,0.132461676243693,66870000,18.2733845069306,57.9065836998634,-108.389787118802
141,2.5,0.222222222222222,0.00820493748411536,0.132461676243693,66870000,19.0069865003461,57.9065836998634,-108.690597957562
151,2.5,0.222222222222222,0.00820493748411536,0.132461676243693,66870000,18.7583463154733,57.6963147250935,-108.573571326633
161,2.5,0.222222222222222,0.00820493748411536,0.132461676243693,66870000,18.7583463154733,57.6963147250935,-108.573571326633
171,2.5,0.222222222222222,0.00820493748411536,0.132461676243693,66870000,18.8419537483715,57.6963147250935,-108.611197807383
181,2.47733184234239,0.222222222222222,0.00820493748411536,0.132461676243693,66870000,18.8419537483715,57.6963147250935,-105.140520623574
191,2.47733184234239,0.222222222222222,0.00820749563863501,0.132461676243693,66870000,18.8419537483715,57.6963147250935,-105.133722157275
201,2.47733184234239,0.222222222222222,0.00820749563863501,0.132461676243693,66870000,18.4323695690837,58.0784851327771,-104.966083278687
211,2.47733184234239,0.222222222222222,0.00820749563863501,0.132461676243693,66870000,18.8844456761144,57.2294458668912,-105.15351489416
221,2.47733184234239,0.222222222222222,0.00813477877294645,0.146572884535417,66870000,19.0876858383417,57.1960377102951,-100.886343652551
231,2.47733184234239,0.222222222222222,0.00813477877294645,0.146572884535417,66870000,19.0876858383417,57.1960377102951,-100.886343652551
241,2.47733184234239,0.222222222222222,0.00813477877294645,0.146572884535417,66870000,19.0876858383417,57.1960377102951,-100.886343652551
251,2.47733184234239,0.222222222222222,0.00722898572683334,0.146572884535417,66870000,19.0876858383417,57.1960377102951,-102.356465260021
261,2.47733184234239,0.222222222222222,0.0075462860474363,0.146572884535417,66870000,19.3905396379996,57.3759699616348,-101.353449357652
271,2.47733184234239,0.222222222222222,0.0075462860474363,0.146572884535417,66870000,19.3905396379996,57.3759699616348,-101.353449357652
281,2.47733184234239,0.222222222222222,0.0075462860474363,0.146572884535417,66870000,19.3905396379996,57.3759699616348,-101.353449357652
291,2.47733184234239,0.222222222222222,0.0075462860474363,0.146572884535417,66870000,18.9270886766026,57.3759699616348,-101.103323233482
301,2.47733184234239,0.222222222222222,0.0075462860474363,0.146572884535417,66870000,18.6827808105154,57.3759699616348,-100.993083294576
311,2.47733184234239,0.222222222222222,0.00781308935023844,0.146572884535417,66870000,19.553296367405,57.3759699616348,-101.032033205827
321,2.47733184234239,0.222222222222222,0.00781308935023844,0.146572884535417,66870000,19.0896409550915,57.3759699616348,-100.762942828501
331,2.47733184234239,0.222222222222222,0.00781308935023844,0.146572884535417,66870000,19.086723583634,57.8284571678378,-100.761419827664
341,2.47733184234239,0.222222222222222,0.00807883532950654,0.146572884535417,66870000,18.7198372603161,57.8881270791171,-100.642106822317
351,2.47733184234239,0.222222222222222,0.00807883532950654,0.146572884535417,66870000,18.5123612823663,57.8881270791171,-100.558281378121
361,2.47733184234239,0.222222222222222,0.00807883532950654,0.146572884535417,66870000,18.5123612823663,57.8881270791171,-100.558281378121
371,2.47733184234239,0.222222222222222,0.00822294049197808,0.146572884535417,66870000,18.5123612823663,57.8881270791171,-100.775693323499
381,2.47733184234239,0.222222222222222,0.00822294049197808,0.146572884535417,66870000,18.7019079049351,57.8881270791171,-100.851850057059
391,2.47733184234239,0.222222222222222,0.00822294049197808,0.146572884535417,66870000,18.2690591759747,57.8881270791171,-100.691102641465
401,2.45650757346302,0.222222222222222,0.00835240631597116,0.146572884535417,66870000,18.9563708652276,57.8881270791171,-100.130826835193
411,2.45650757346302,0.222222222222222,0.00601109280716628,0.146572884535417,66870000,18.0160263173748,57.8881270791171,-89.7655910202008
421,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.1590371861821,57.8881270791171,-79.7749076906845
431,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.1590371861821,57.8881270791171,-79.7749076906845
441,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.1590371861821,57.8881270791171,-79.7749076906845
451,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.6402524260338,57.8881270791171,-79.7026826735282
461,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.6402524260338,57.8881270791171,-79.7026826735282
471,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.6402524260338,57.8881270791171,-79.7026826735282
481,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.7997559577925,57.8881270791171,-79.6915175934614
491,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.7997559577925,57.8881270791171,-79.6915175934614
501,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.2419073986821,57.8881270791171,-79.758343432928
511,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.2419073986821,57.8881270791171,-79.758343432928
521,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.2419073986821,57.8881270791171,-79.758343432928
531,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,17.0033507950138,57.8881270791171,-79.6865067873848
541,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.2521602939814,57.8881270791171,-79.7564134121436
551,2.45650757346302,0.222222222222222,0.00512910950696096,0.146572884535417,66870000,16.2521602939814,57.8881270791171,-79.7564134121436
561,2.45650757346302,0.222222222222222,0.00509808127535507,0.146572884535417,66870000,16.9847075220896,57.8881270791171,-79.6020254124104
571,2.45650757346302,0.222222222222222,0.00509808127535507,0.146572884535417,66870000,16.9847075220896,57.8881270791171,-79.6020254124104
581,2.45650757346302,0.222222222222222,0.00521121373400092,0.146572884535417,66870000,16.9847075220896,57.8881270791171,-79.9820627502362
591,2.45650757346302,0.222222222222222,0.00521121373400092,0.146572884535417,66870000,16.7007151163416,57.8881270791171,-79.9932299479494
601,2.45650757346302,0.222222222222222,0.00521121373400092,0.146572884535417,66870000,16.7007151163416,57.8881270791171,-79.9932299479494
611,2.45650757346302,0.222222222222222,0.00521121373400092,0.146572884535417,66870000,16.7007151163416,57.8881270791171,-79.9932299479494
621,2.45650757346302,0.222222222222222,0.00521121373400092,0.146572884535417,66870000,16.3346649501473,57.8881270791171,-80.0373673588214
631,2.45650757346302,0.222222222222222,0.00521121373400092,0.146572884535417,66870000,16.3346649501473,57.7770718807587,-80.0373673588214
641,2.45650757346302,0.222222222222222,0.00549197832820937,0.146572884535417,66870000,16.7672277363017,57.7770718807587,-81.7497761231338
651,2.42435143480543,0.222222222222222,0.00549197832820937,0.146572884535417,66870000,16.6364135644399,57.7770718807587,-77.7149104382929
661,2.42435143480543,0.222222222222222,0.00549197832820937,0.146572884535417,66870000,15.4645979042398,57.7770718807587,-77.2648255011383
671,2.42435143480543,0.222222222222222,0.00549197832820937,0.146572884535417,66870000,15.2975649455329,57.7770718807587,-77.3324286910149
681,2.38911400439683,0.222222222222222,0.00549197832820937,0.146572884535417,66870000,16.0585022600135,57.7770718807587,-66.9067543386332
