"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.95422033189474,0.181544827242253,0.000138764075965832,0.136834347960581,66870000,17.3356354170866,49.3121377075015,-40.7578102026346
11,2.9335178648445,0.187875009713352,0.000142868093046332,0.130826545740892,66870000,17.1685749899312,50.3571350750769,-41.1116676363734
21,2.97343405119667,0.185389325279429,9.4171672269051e-05,0.131781210366689,66870000,17.6734179951051,48.8226556063264,-41.5269809189903
31,2.94466708194011,0.183409238268325,0.000116756551419159,0.147819109656891,66870000,17.7240191516816,48.9043038198866,-41.4147071182611
41,2.94466708194011,0.183409238268325,0.000116756551419159,0.147819109656891,66870000,17.7240191516816,48.9043038198866,-41.4147071182611
51,2.98233590555042,0.183321355692494,0.000137414211322016,0.144120658598002,66870000,17.0795285077902,50.645998761056,-40.5094063785404
61,3.05367001959546,0.182945828405688,0.00017726571526625,0.144984639248082,66870000,16.319587335279,52.9630111293087,-40.4616721916261
71,3.00040448868942,0.181763136328886,0.000197569922128927,0.140540528768863,66870000,17.3066995986828,50.7934400465755,-40.1318663905477
81,3.00040448868942,0.181763136328886,0.000197569922128927,0.140540528768863,66870000,17.3066995986828,50.7934400465755,-40.1318663905477
91,2.96970999074786,0.18372321950192,0.000199856607703079,0.142583518366065,66870000,18.2762047903417,49.9439303914537,-40.192308248701
101,3.0087238109453,0.186114494023919,0.000180410525020604,0.141062213768102,66870000,15.4075751410203,54.4692040236826,-40.5589092803308
111,3.0087238109453,0.186114494023919,0.000180410525020604,0.141062213768102,66870000,15.4075751410203,54.4692040236826,-40.5589092803308
121,2.98399366916373,0.185983418637717,0.000165662751150575,0.140618683554956,66870000,15.8418200415951,52.951492845513,-40.5806920282651
131,3.09792953667155,0.172969422081606,0.000135267328643939,0.136797143123558,66870000,17.8680593663687,49.3999749166457,-42.3151706802294
141,3.24978635288995,0.164691064744556,0.000151057323963684,0.137133991857777,66870000,17.8236840429237,50.4055934991161,-42.0061987558641
151,3.10687919579444,0.181121756685029,0.000145624345650934,0.14154210653281,66870000,17.5100957172457,51.6115871504812,-40.4095984915253
161,3.10687919579444,0.181121756685029,0.000145624345650934,0.14154210653281,66870000,17.5100957172457,51.6115871504812,-40.4095984915253
171,3.05497879013129,0.188205711438259,0.000116888473699082,0.13968488933227,66870000,19.1012381487424,50.8362571418184,-40.9924181931836
181,2.98645520425518,0.187328132314961,0.00026749425993906,0.141501192457487,66870000,19.5879708338046,51.2388909946422,-41.3083212489864
191,3.03550676549246,0.186799491815711,0.000228595692289168,0.135357579789374,66870000,20.3830539236188,50.3660380998204,-41.5816112701316
201,3.03550676549246,0.186799491815711,0.000228595692289168,0.135357579789374,66870000,20.3830539236188,50.3660380998204,-41.5816112701316
211,3.03550676549246,0.186799491815711,0.000228595692289168,0.135357579789374,66870000,20.3830539236188,50.3660380998204,-41.5816112701316
221,3.16391982575594,0.179626787000559,0.000239136163715835,0.132969011966689,66870000,22.0807409373534,49.6997851753074,-44.7768682488773
231,3.07212505210387,0.185170619561489,0.000198052251007561,0.13271352327675,66870000,22.8913117883381,47.354215136123,-45.1531638989412
241,3.29060901984354,0.171902216420894,6.86615623628292e-05,0.13100262554916,66870000,19.3277883111645,48.9078640747917,-44.3775589993656
251,3.38081649901515,0.165255144857103,4.8662831429748e-05,0.132555652777987,66870000,18.1543924424174,49.5566666594521,-45.5442823671791
261,3.56805330692309,0.15467513712651,8.05118217614067e-05,0.131884842953507,66870000,19.2426333430709,49.2048023406292,-53.0452491237279
271,3.40343644380473,0.165822249653341,9.13420365849217e-05,0.135111295052893,66870000,17.1990951463646,52.5154457206107,-43.2900430506303
281,3.56679476428136,0.146508772227785,0.000102988412827584,0.134066584002872,66870000,16.5908587759886,51.0513933686597,-45.3432902370113
291,3.27085218833295,0.167937903485102,0.000216976631083332,0.134808838874059,66870000,17.6069499634617,52.4853498356187,-41.7301775314172
301,3.10845759348702,0.179625600207089,0.000135162655630493,0.122120533696898,66870000,15.5615606795392,53.1423729468316,-44.31107954677
311,3.22705050964332,0.16058706695357,0.000193111516352303,0.131410118356454,66870000,16.5129781056146,51.2215325530969,-42.6566448990784
321,3.16969407732657,0.162720709001295,0.00019835049572001,0.137741943166883,66870000,16.8526994362784,51.0147942298041,-42.668325886793
331,3.16969407732657,0.162720709001295,0.00019835049572001,0.137741943166883,66870000,16.8526994362784,51.0147942298041,-42.668325886793
