"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.5,0.222222222222222,0.01,0.14,66870000,17,59,-41.2438708115272
11,2.90452227673959,0.222222222222222,0.00951602844754234,0.14,66870000,16.3932135042269,56.7505576791009,-10.3480460182171
21,2.82274610614404,0.222222222222222,0.00951602844754234,0.14,66870000,16.0377865260234,61.4129434820497,4.45035630675976
31,2.82274610614404,0.222222222222222,0.00800831876462325,0.14,66870000,15.2949743245263,61.7655979746487,4.26656698560716
41,2.82274610614404,0.272584141956435,0.00769704934442416,0.14,66870000,16.3781872239197,60.7823685653275,4.23306456062859
51,2.74656399341766,0.272584141956435,0.0104812893341295,0.14,66870000,16.6970515826251,59.9960677940398,8.33697417717901
61,2.74656399341766,0.272584141956435,0.00769797546090558,0.14,66870000,16.0046450350201,59.3197014034959,8.38172456441798
71,2.75998127064668,0.224854812750386,0.00788159178104252,0.14,66870000,15.5258469433757,61.9410373687278,8.51038305810948
81,2.75998127064668,0.224854812750386,0.011715754524339,0.14,66870000,16.3734594044508,62.652105210349,8.40149181275147
91,2.75998127064668,0.224854812750386,0.0125411390000954,0.14,66870000,15.251769321505,64.0468688266119,7.92814943689699
101,2.75998127064668,0.270510099621283,0.0160655750124715,0.14,66870000,16.2425786494277,65.8780921911821,7.14567528798383
111,2.75998127064668,0.270510099621283,0.0160655750124715,0.14,66870000,16.9673795112176,69.9717726620147,7.21725316373561
121,2.75998127064668,0.270510099621283,0.0135434466972947,0.14,66870000,16.0826478879899,70.7881730746012,7.69015449902633
131,2.75998127064668,0.270510099621283,0.0115307329921052,0.14,66870000,16.4101611955557,67.7919361935928,8.11466693930917
141,2.75998127064668,0.270510099621283,0.00893649419071153,0.14,66870000,16.4174068141729,69.8197430643486,8.39335804927745
151,2.75998127064668,0.270510099621283,0.010664337570779,0.14,66870000,15.4587811853271,72.3163233957021,7.98199127828626
161,2.79218419205863,0.270510099621283,0.00848074759822339,0.14,66870000,16.1629506123718,70.9118800380966,7.0227934716462
171,2.79218419205863,0.191016360444741,0.0126176344533451,0.14,66870000,16.3887461978011,66.4548933608457,6.63681896420745
181,2.7798694443889,0.191016360444741,0.00598206639988348,0.14,66870000,17.0089619879145,64.8271493116627,7.72583739312298
191,2.7798694443889,0.236662848361043,0.00899554913630709,0.14,66870000,18.1782844015397,63.3623433465837,7.9099456637571
201,2.7798694443889,0.236662848361043,0.0096233240282163,0.14,66870000,17.7902265602024,59.1279216149123,7.96138452600218
211,2.7798694443889,0.236662848361043,0.0148051390587352,0.14,66870000,18.3201060076244,61.5180154282134,6.95383774337133
221,2.7798694443889,0.236662848361043,0.015699429968372,0.14,66870000,18.3201060076244,60.2217698048335,6.74129248755849
231,2.7798694443889,0.276373344447671,0.0157636931585148,0.14,66870000,18.0746717697475,60.4531189762056,6.44796514215456
241,2.7798694443889,0.253649927649854,0.0171611674618907,0.14,66870000,16.3392211233731,64.1313467492582,6.41204028803279
251,2.7798694443889,0.253649927649854,0.0216389115853235,0.14,66870000,17.5666899122298,62.9444378420012,5.11498075723793
261,2.74707259975839,0.253649927649854,0.0214132232940756,0.14,66870000,17.4611383425072,68.7632129461272,5.90633918571896
271,2.74707259975839,0.253649927649854,0.0257182715949602,0.14,66870000,16.9643975519575,70.9902328273747,4.5130098814776
281,2.74707259975839,0.253649927649854,0.0236270067701116,0.14,66870000,16.2510205705184,69.4288058180828,5.14943432698412
291,2.74707259975839,0.253649927649854,0.022122045464348,0.14,66870000,16.559801328578,62.0209269904299,5.68455131917819
301,2.74707259975839,0.253649927649854,0.0193992625596002,0.14,66870000,18.4534657879267,60.0548100469168,6.28073591800875
311,2.74707259975839,0.430787272026969,0.0156124625727534,0.14,66870000,17.5874871963169,62.9799805777147,5.30853851248239
321,2.74567897445522,0.289976236384569,0.0195713813998736,0.14,66870000,18.1039497249294,64.9846507431939,5.93633178137421
331,2.74567897445522,0.199189427567439,0.0162263770541176,0.14,66870000,17.8466313278768,71.2470925288508,7.33923734743998
341,2.74567897445522,0.199189427567439,0.0162263770541176,0.14,66870000,17.2495519432705,72.9362041268032,7.42105090155903
351,2.74567897445522,0.267148136368228,0.0154767335159704,0.14,66870000,17.0944707513554,73.0582464425825,7.46237910228645
361,2.74567897445522,0.32939722456245,0.00838984237983822,0.141967589836568,66870000,17.7374419691041,66.8092571190791,7.66466566916991
371,2.74567897445522,0.260859218400179,0.00725511447293684,0.141967589836568,66870000,17.0253428699216,65.4909181225812,8.56841589624257
381,2.74567897445522,0.371383742170615,0.00725511447293684,0.141967589836568,66870000,17.1105396047933,69.4342371446546,7.1558013531034
