"sampno","R0","sigma","rho","theta","N","psi","t0","lnlike"
1,2.75119750534683,0.216596474024953,0.00791401648965802,0.141313007653989,66870000,16.9875591780069,59.7864467648324,8.83773348491531
11,2.7507963915912,0.18182918560849,0.00793075521031239,0.144773181003379,66870000,16.6258769412715,42.6305688346205,8.11325145056531
21,2.74690779266616,0.219398400257803,0.010794886687503,0.14569735246006,66870000,16.6941145667325,5.22565453286256,8.3123906333992
31,2.73838438118386,0.263912663702551,0.00770499373330265,0.145737780521685,66870000,17.0781931741618,9.04701612622549,8.16345772625571
41,2.7459981965494,0.296284875282745,0.00247866142445375,0.148383982600202,66870000,15.3663761260757,18.4054537206835,5.24100742768459
51,2.75996872000651,0.290380376270493,0.00566246778511908,0.145396152450603,66870000,10.7857124251901,15.9364272017569,2.88837276452443
61,2.76423175931646,0.202713392562449,0.0114234086577181,0.151329033770967,66870000,13.6169284507643,3.85286395208562,5.58062251718926
71,2.73773462120803,0.314487796001397,0.00846765441466347,0.147008138215108,66870000,14.4037815985998,8.08721826777602,6.52141829910413
81,2.73447178514803,0.308964176925048,0.0106344737304903,0.146329006469173,66870000,16.805636081347,15.2113096539977,7.28053226492292
91,2.74356966712783,0.34313799981158,0.00971919067084904,0.135153468674477,66870000,16.5973772923142,4.41683991412996,7.23232317348907
101,2.72792089744019,0.493372083638979,0.00749512486742878,0.138756675567145,66870000,15.5078326505274,44.5366107685587,5.11296228296371
111,2.73486016009177,0.355789031157994,0.0156464812057387,0.140030044855864,66870000,15.5975287389512,4.54188915813747,5.86734138412531
121,2.75054495209032,0.164782718494283,0.00896487763527927,0.139052695636421,66870000,18.2515350039027,19.0817150761554,7.40117165271555
131,2.73412491770598,0.329421359045566,0.00648135631424131,0.134235246968575,66870000,20.9610030041622,42.6160923105358,5.20672046635172
141,2.74428095357524,0.163806140091963,0.00619340586750809,0.140476154292132,66870000,17.3166161478577,20.0227974211622,7.41436125602781
151,2.7324381817009,0.184105702100641,0.0118147955604118,0.140286654464123,66870000,17.5457466213767,51.4305681199709,7.79700178192476
161,2.78268355241413,0.324673362409669,0.00811148333484087,0.141110894100393,66870000,17.0885513964743,20.983161684754,6.98685203685425
171,2.75544415116195,0.269938214524387,0.011072647938854,0.137793513590182,66870000,16.1935557331167,33.7304836994112,8.15632282702851
181,2.76044740114026,0.275889248600134,0.00797852848492729,0.137795926092787,66870000,15.2297251233464,15.373588061757,7.95179197522248
191,2.71610604032419,0.216630651030455,0.00447237243955752,0.136636651505754,66870000,19.587395628938,27.5062956099984,6.42323587484723
201,2.72365825980914,0.269812338583125,0.0117233946311395,0.139872948445241,66870000,20.5908865897259,26.2501135625153,6.04835826049928
211,2.75219724702699,0.260578213390034,0.0108162602631264,0.137445489602285,66870000,20.8245594026669,53.4141989698658,6.54363084805993
221,2.75763931163966,0.254826554997001,0.0117731088288216,0.145175138453015,66870000,16.6316815429848,65.9656313200001,8.01982453675618
231,2.75874709063164,0.283802543682111,0.00985650126307402,0.153988982701105,66870000,17.941297091241,37.3328041265107,6.12454416567828
241,2.73030937198301,0.25883338089893,0.0105045497713116,0.137184455855731,66870000,17.5243980762698,30.045605424095,8.07273336513673
